song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Ash of memory,Thomas Preber,0.334,0.0593,6,-25.109,1,0.0418,0.992,0.963,0.0836,0.107,77.555,audio_features,6rb8PeoAVfIyAJ0EqQCgU2,spotify:track:6rb8PeoAVfIyAJ0EqQCgU2,https://api.spotify.com/v1/tracks/6rb8PeoAVfIyAJ0EqQCgU2,https://api.spotify.com/v1/audio-analysis/6rb8PeoAVfIyAJ0EqQCgU2,115985,4,relax
A Midnight Sun,Cassandra Nestico,0.493,0.0159,4,-24.847,1,0.0362,0.992,0.908,0.106,0.313,77.532,audio_features,6FLe5vn84JPgAAiKz6ofkX,spotify:track:6FLe5vn84JPgAAiKz6ofkX,https://api.spotify.com/v1/tracks/6FLe5vn84JPgAAiKz6ofkX,https://api.spotify.com/v1/audio-analysis/6FLe5vn84JPgAAiKz6ofkX,154963,3,relax
The Way Home,Wendie Solomon,0.532,0.0378,10,-24.416,1,0.0532,0.993,0.938,0.101,0.196,83.185,audio_features,4QB9QRh9xUuqKTXX9JBqyZ,spotify:track:4QB9QRh9xUuqKTXX9JBqyZ,https://api.spotify.com/v1/tracks/4QB9QRh9xUuqKTXX9JBqyZ,https://api.spotify.com/v1/audio-analysis/4QB9QRh9xUuqKTXX9JBqyZ,147536,3,relax
Deja,Taganema,0.396,0.0424,1,-26.712,1,0.0447,0.991,0.961,0.148,0.166,63.206,audio_features,5cm73dj9ydNYALjjUOVPhu,spotify:track:5cm73dj9ydNYALjjUOVPhu,https://api.spotify.com/v1/tracks/5cm73dj9ydNYALjjUOVPhu,https://api.spotify.com/v1/audio-analysis/5cm73dj9ydNYALjjUOVPhu,145530,4,relax
Nordanvind,Malmkvist,0.265,0.0119,3,-33.766,1,0.0526,0.991,0.946,0.097,0.35,99.932,audio_features,42cskWMuFydbI9f9um1sTj,spotify:track:42cskWMuFydbI9f9um1sTj,https://api.spotify.com/v1/tracks/42cskWMuFydbI9f9um1sTj,https://api.spotify.com/v1/audio-analysis/42cskWMuFydbI9f9um1sTj,127000,5,relax
Fiume,Carluccio,0.361,0.0649,1,-23.25,1,0.0281,0.984,0.933,0.111,0.354,77.486,audio_features,0kpHSnJTru2qYTk0WFDsyA,spotify:track:0kpHSnJTru2qYTk0WFDsyA,https://api.spotify.com/v1/tracks/0kpHSnJTru2qYTk0WFDsyA,https://api.spotify.com/v1/audio-analysis/0kpHSnJTru2qYTk0WFDsyA,140125,4,relax
Peggy's Cove,Sarah Watson,0.415,0.0875,0,-26.532,1,0.0344,0.994,0.938,0.0946,0.204,103.774,audio_features,7yplIuBnFYA8eUje0Vi0UP,spotify:track:7yplIuBnFYA8eUje0Vi0UP,https://api.spotify.com/v1/tracks/7yplIuBnFYA8eUje0Vi0UP,https://api.spotify.com/v1/audio-analysis/7yplIuBnFYA8eUje0Vi0UP,135345,3,relax
Onward,Remi Sinclair,0.509,0.0154,9,-30.485,0,0.0588,0.99,0.927,0.185,0.37,132.55,audio_features,6zo1cdRzbCvGZmJVJEk8TS,spotify:track:6zo1cdRzbCvGZmJVJEk8TS,https://api.spotify.com/v1/tracks/6zo1cdRzbCvGZmJVJEk8TS,https://api.spotify.com/v1/audio-analysis/6zo1cdRzbCvGZmJVJEk8TS,134000,4,relax
Turn,Hideyuki Hashimoto,0.377,0.0751,3,-32.408,0,0.0293,0.989,0.908,0.0631,0.516,141.654,audio_features,0y7I045qDUH1carkgTB2UG,spotify:track:0y7I045qDUH1carkgTB2UG,https://api.spotify.com/v1/tracks/0y7I045qDUH1carkgTB2UG,https://api.spotify.com/v1/audio-analysis/0y7I045qDUH1carkgTB2UG,159000,4,relax
Valse Naturelle,Etienne Balestre,0.35,0.0617,3,-26.752,1,0.034,0.975,0.935,0.117,0.0931,112.155,audio_features,5IevvlxHT4pygUgmZlxhNy,spotify:track:5IevvlxHT4pygUgmZlxhNy,https://api.spotify.com/v1/tracks/5IevvlxHT4pygUgmZlxhNy,https://api.spotify.com/v1/audio-analysis/5IevvlxHT4pygUgmZlxhNy,139625,4,relax
