song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Nowhere,Nomad Spector,0.476,0.104,11,-20.96,0,0.0296,0.932,0.894,0.111,0.0386,70.003,audio_features,07niZTYNkvPcw61OX0YSR6,spotify:track:07niZTYNkvPcw61OX0YSR6,https://api.spotify.com/v1/tracks/07niZTYNkvPcw61OX0YSR6,https://api.spotify.com/v1/audio-analysis/07niZTYNkvPcw61OX0YSR6,205795,4,focus
Under the Horizon,Hers Lake,0.388,0.0247,7,-22.376,1,0.042,0.978,0.911,0.111,0.336,78.486,audio_features,1ScBivNTBV7KVIjumkFvFE,spotify:track:1ScBivNTBV7KVIjumkFvFE,https://api.spotify.com/v1/tracks/1ScBivNTBV7KVIjumkFvFE,https://api.spotify.com/v1/audio-analysis/1ScBivNTBV7KVIjumkFvFE,149973,3,focus
Memories of Tomorrow,Imber Sun,0.526,0.0732,7,-19.831,1,0.034,0.926,0.869,0.149,0.131,90.815,audio_features,3S5bNdw13XmF0Zw98KtVrV,spotify:track:3S5bNdw13XmF0Zw98KtVrV,https://api.spotify.com/v1/tracks/3S5bNdw13XmF0Zw98KtVrV,https://api.spotify.com/v1/audio-analysis/3S5bNdw13XmF0Zw98KtVrV,147767,4,focus
Effortless,Space Access,0.604,0.216,11,-18.172,0,0.0412,0.873,0.863,0.111,0.0708,72.029,audio_features,3XW2ewe1iNoBlHTYPUi39V,spotify:track:3XW2ewe1iNoBlHTYPUi39V,https://api.spotify.com/v1/tracks/3XW2ewe1iNoBlHTYPUi39V,https://api.spotify.com/v1/audio-analysis/3XW2ewe1iNoBlHTYPUi39V,167820,4,focus
retrospect,Isaak Young,0.297,0.0991,11,-20.172,0,0.0393,0.92,0.897,0.111,0.171,35.366,audio_features,1vlaBhPNXdqdhdjkwV8VCv,spotify:track:1vlaBhPNXdqdhdjkwV8VCv,https://api.spotify.com/v1/tracks/1vlaBhPNXdqdhdjkwV8VCv,https://api.spotify.com/v1/audio-analysis/1vlaBhPNXdqdhdjkwV8VCv,174542,4,focus
Once I Dreamed,Tim Gourolis,0.302,0.127,9,-19.69,0,0.0386,0.905,0.91,0.0965,0.137,109.262,audio_features,0yVsNXZjSNO0uLhPs8pynS,spotify:track:0yVsNXZjSNO0uLhPs8pynS,https://api.spotify.com/v1/tracks/0yVsNXZjSNO0uLhPs8pynS,https://api.spotify.com/v1/audio-analysis/0yVsNXZjSNO0uLhPs8pynS,192047,4,focus
One Step,Sounds of Ellinia,0.499,0.218,11,-17.352,1,0.037,0.863,0.903,0.111,0.172,140.109,audio_features,3TR4OoqzX947WgOxG1d5F3,spotify:track:3TR4OoqzX947WgOxG1d5F3,https://api.spotify.com/v1/tracks/3TR4OoqzX947WgOxG1d5F3,https://api.spotify.com/v1/audio-analysis/3TR4OoqzX947WgOxG1d5F3,144857,4,focus
Tempestade,Philó,0.482,0.0432,5,-23.186,1,0.0316,0.935,0.856,0.111,0.0775,75.033,audio_features,5r9fTbn6YZVxHKaU4Rze3t,spotify:track:5r9fTbn6YZVxHKaU4Rze3t,https://api.spotify.com/v1/tracks/5r9fTbn6YZVxHKaU4Rze3t,https://api.spotify.com/v1/audio-analysis/5r9fTbn6YZVxHKaU4Rze3t,167582,4,focus
Junifer,The Aiko,0.496,0.134,3,-15.87,1,0.0293,0.984,0.936,0.107,0.0537,64.96,audio_features,2O6ok8mA213SiKlHD3yOPt,spotify:track:2O6ok8mA213SiKlHD3yOPt,https://api.spotify.com/v1/tracks/2O6ok8mA213SiKlHD3yOPt,https://api.spotify.com/v1/audio-analysis/2O6ok8mA213SiKlHD3yOPt,136765,4,focus
Epoque,ARCADIA,0.559,0.176,4,-15.088,0,0.0325,0.298,0.856,0.181,0.0473,106.999,audio_features,0WUmEgNPYXDCe8zwecTlYk,spotify:track:0WUmEgNPYXDCe8zwecTlYk,https://api.spotify.com/v1/tracks/0WUmEgNPYXDCe8zwecTlYk,https://api.spotify.com/v1/audio-analysis/0WUmEgNPYXDCe8zwecTlYk,125607,4,focus
sox,Stones Sailing,0.454,0.0699,4,-20.839,0,0.0516,0.264,0.889,0.108,0.0858,64.443,audio_features,2MQhJVwdsmdfG5qK96tEHH,spotify:track:2MQhJVwdsmdfG5qK96tEHH,https://api.spotify.com/v1/tracks/2MQhJVwdsmdfG5qK96tEHH,https://api.spotify.com/v1/audio-analysis/2MQhJVwdsmdfG5qK96tEHH,174753,4,focus
Fill Up The Sky,Eroded Sky,0.668,0.122,1,-17.167,0,0.0539,0.279,0.473,0.0883,0.433,120.07,audio_features,1UdPbtn1tr1fm1d0FcrgAg,spotify:track:1UdPbtn1tr1fm1d0FcrgAg,https://api.spotify.com/v1/tracks/1UdPbtn1tr1fm1d0FcrgAg,https://api.spotify.com/v1/audio-analysis/1UdPbtn1tr1fm1d0FcrgAg,205000,4,focus
