song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Disco Inferno,"Syzz, Nora Van Elken",0.764,0.84,5,-4.311,1,0.0596,0.00834,0.0777,0.0911,0.67,126.03,audio_features,7qhFWlQpahKJT9LcL6qTH4,spotify:track:7qhFWlQpahKJT9LcL6qTH4,https://api.spotify.com/v1/tracks/7qhFWlQpahKJT9LcL6qTH4,https://api.spotify.com/v1/audio-analysis/7qhFWlQpahKJT9LcL6qTH4,131474,4,happy
How You Samba,"Kris Kross Amsterdam, Sofía Reyes, Tinie Tempah",0.617,0.719,11,-7.991,0,0.0606,0.0453,7.47e-05,0.688,0.435,124.911,audio_features,3nyebfHIhsgRvUJd9wv3u1,spotify:track:3nyebfHIhsgRvUJd9wv3u1,https://api.spotify.com/v1/tracks/3nyebfHIhsgRvUJd9wv3u1,https://api.spotify.com/v1/audio-analysis/3nyebfHIhsgRvUJd9wv3u1,151693,4,happy
Who Do You Love,"ARTY, Rozzi",0.537,0.964,5,-2.677,0,0.0552,0.018,0.00138,0.16,0.509,125.992,audio_features,2w1rG2MPE4vF77znvevuz5,spotify:track:2w1rG2MPE4vF77znvevuz5,https://api.spotify.com/v1/tracks/2w1rG2MPE4vF77znvevuz5,https://api.spotify.com/v1/audio-analysis/2w1rG2MPE4vF77znvevuz5,208254,4,happy
If The World Just Danced - MOTi Remix,"Diana Ross, MOTi",0.776,0.614,2,-7.666,1,0.0488,0.18,0.0,0.109,0.43,120.003,audio_features,7kEh6jNlJOAhC0lv6XV3iw,spotify:track:7kEh6jNlJOAhC0lv6XV3iw,https://api.spotify.com/v1/tracks/7kEh6jNlJOAhC0lv6XV3iw,https://api.spotify.com/v1/audio-analysis/7kEh6jNlJOAhC0lv6XV3iw,209013,4,happy
Time to Groove (feat. Nonô),"Majestic, Nonô",0.624,0.94,11,-3.671,0,0.163,0.000983,0.00409,0.313,0.882,128.014,audio_features,20b1ZBMGOZjuGvNFncIIP7,spotify:track:20b1ZBMGOZjuGvNFncIIP7,https://api.spotify.com/v1/tracks/20b1ZBMGOZjuGvNFncIIP7,https://api.spotify.com/v1/audio-analysis/20b1ZBMGOZjuGvNFncIIP7,146849,4,happy
With My Friends,"Tungevaag, Sick Individuals, Philip Strand",0.631,0.942,4,-2.98,1,0.0373,0.0155,2.31e-06,0.0931,0.451,124.944,audio_features,69wzXH2xyoQCaMydQ45rUt,spotify:track:69wzXH2xyoQCaMydQ45rUt,https://api.spotify.com/v1/tracks/69wzXH2xyoQCaMydQ45rUt,https://api.spotify.com/v1/audio-analysis/69wzXH2xyoQCaMydQ45rUt,146707,4,happy
Stop Loving You,Don Diablo,0.645,0.889,5,-4.333,1,0.0394,0.06,0.000241,0.305,0.175,123.057,audio_features,1TRmgkGE0EdfjjAovbMpTk,spotify:track:1TRmgkGE0EdfjjAovbMpTk,https://api.spotify.com/v1/tracks/1TRmgkGE0EdfjjAovbMpTk,https://api.spotify.com/v1/audio-analysis/1TRmgkGE0EdfjjAovbMpTk,169504,4,happy
All Day (feat. Nonô),"Welshy, Nonô",0.713,0.81,0,-5.108,1,0.0457,0.115,0.0,0.0527,0.747,124.036,audio_features,7kG1Lv9NFFtvvUeyYHLG7R,spotify:track:7kG1Lv9NFFtvvUeyYHLG7R,https://api.spotify.com/v1/tracks/7kG1Lv9NFFtvvUeyYHLG7R,https://api.spotify.com/v1/audio-analysis/7kG1Lv9NFFtvvUeyYHLG7R,182653,4,happy
More Love (feat. Secondcity),"Noizu, Secondcity",0.572,0.951,6,-4.566,0,0.0504,0.00373,0.0529,0.318,0.276,123.984,audio_features,5PY9fTLp4MPXsbeRouS8gd,spotify:track:5PY9fTLp4MPXsbeRouS8gd,https://api.spotify.com/v1/tracks/5PY9fTLp4MPXsbeRouS8gd,https://api.spotify.com/v1/audio-analysis/5PY9fTLp4MPXsbeRouS8gd,191613,4,happy
You're Free,"Icona Pop, Ultra Naté",0.639,0.878,3,-4.041,1,0.091,0.00937,7.31e-06,0.115,0.842,124.994,audio_features,0KF938333oCvIXDxe72K44,spotify:track:0KF938333oCvIXDxe72K44,https://api.spotify.com/v1/tracks/0KF938333oCvIXDxe72K44,https://api.spotify.com/v1/audio-analysis/0KF938333oCvIXDxe72K44,167298,4,happy
